league,team_id,team_uid,team_slug,team_name,team_abbr,wins,losses,ties,win_pct,points_for,points_against,streak,games_played,rank
nba,27,s:40~l:46~t:27,,Washington Wizards,WSH,1.0,10.0,,0.09090909,1250.0,1421.0,-9.0,,
nba,17,s:40~l:46~t:17,,Brooklyn Nets,BKN,1.0,9.0,,0.1,1100.0,1255.0,-2.0,,
nba,11,s:40~l:46~t:11,,Indiana Pacers,IND,1.0,9.0,,0.1,1076.0,1187.0,-4.0,,
nba,30,s:40~l:46~t:30,,Charlotte Hornets,CHA,3.0,7.0,,0.3,1182.0,1210.0,-3.0,,
nba,2,s:40~l:46~t:2,,Boston Celtics,BOS,5.0,6.0,,0.45454547,1241.0,1214.0,1.0,,
nba,19,s:40~l:46~t:19,,Orlando Magic,ORL,5.0,6.0,,0.45454547,1275.0,1274.0,1.0,,
nba,28,s:40~l:46~t:28,,Toronto Raptors,TOR,5.0,5.0,,0.5,1193.0,1171.0,-1.0,,
nba,1,s:40~l:46~t:1,,Atlanta Hawks,ATL,6.0,5.0,,0.54545456,1257.0,1252.0,2.0,,
nba,4,s:40~l:46~t:4,,Chicago Bulls,CHI,6.0,4.0,,0.6,1192.0,1184.0,-3.0,,
nba,20,s:40~l:46~t:20,,Philadelphia 76ers,PHI,6.0,4.0,,0.6,1224.0,1185.0,-1.0,,
nba,18,s:40~l:46~t:18,,New York Knicks,NY,6.0,3.0,,0.6666667,1085.0,1007.0,4.0,,
nba,14,s:40~l:46~t:14,,Miami Heat,MIA,7.0,4.0,,0.6363636,1381.0,1318.0,3.0,,
nba,5,s:40~l:46~t:5,,Cleveland Cavaliers,CLE,7.0,4.0,,0.6363636,1345.0,1295.0,-1.0,,
nba,15,s:40~l:46~t:15,,Milwaukee Bucks,MIL,7.0,4.0,,0.6363636,1316.0,1299.0,1.0,,
nba,8,s:40~l:46~t:8,,Detroit Pistons,DET,9.0,2.0,,0.8181818,1298.0,1240.0,7.0,,
nba,3,s:40~l:46~t:3,,New Orleans Pelicans,NO,2.0,8.0,,0.2,1080.0,1213.0,-2.0,,
nba,6,s:40~l:46~t:6,,Dallas Mavericks,DAL,3.0,8.0,,0.27272728,1179.0,1249.0,-1.0,,
nba,23,s:40~l:46~t:23,,Sacramento Kings,SAC,3.0,7.0,,0.3,1153.0,1239.0,-2.0,,
nba,26,s:40~l:46~t:26,,Utah Jazz,UTAH,3.0,7.0,,0.3,1122.0,1201.0,-3.0,,
nba,12,s:40~l:46~t:12,,LA Clippers,LAC,3.0,7.0,,0.3,1089.0,1140.0,-5.0,,
nba,29,s:40~l:46~t:29,,Memphis Grizzlies,MEM,4.0,7.0,,0.36363637,1251.0,1305.0,-1.0,,
nba,22,s:40~l:46~t:22,,Portland Trail Blazers,POR,5.0,5.0,,0.5,1206.0,1193.0,-2.0,,
nba,9,s:40~l:46~t:9,,Golden State Warriors,GS,6.0,5.0,,0.54545456,1275.0,1250.0,1.0,,
nba,21,s:40~l:46~t:21,,Phoenix Suns,PHX,6.0,5.0,,0.54545456,1285.0,1265.0,3.0,,
nba,10,s:40~l:46~t:10,,Houston Rockets,HOU,6.0,3.0,,0.6666667,1105.0,1018.0,1.0,,
nba,16,s:40~l:46~t:16,,Minnesota Timberwolves,MIN,7.0,4.0,,0.6363636,1333.0,1273.0,3.0,,
nba,7,s:40~l:46~t:7,,Denver Nuggets,DEN,7.0,2.0,,0.7777778,1118.0,999.0,4.0,,
nba,13,s:40~l:46~t:13,,Los Angeles Lakers,LAL,8.0,3.0,,0.72727275,1299.0,1282.0,1.0,,
nba,24,s:40~l:46~t:24,,San Antonio Spurs,SA,8.0,2.0,,0.8,1193.0,1113.0,3.0,,
nba,25,s:40~l:46~t:25,,Oklahoma City Thunder,OKC,10.0,1.0,,0.90909094,1346.0,1197.0,2.0,,
