season,season_type,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,source
2025-26,Regular Season,,Atlanta,,,,,,,,,,,,,,,,,,,102.2,,nbastuffer
2025-26,Regular Season,,Boston,,,,,,,,,,,,,,,,,,,96.6,,nbastuffer
2025-26,Regular Season,,Brooklyn,,,,,,,,,,,,,,,,,,,99.5,,nbastuffer
2025-26,Regular Season,,Charlotte,,,,,,,,,,,,,,,,,,,101.2,,nbastuffer
2025-26,Regular Season,,Chicago,,,,,,,,,,,,,,,,,,,101.5,,nbastuffer
2025-26,Regular Season,,Cleveland,,,,,,,,,,,,,,,,,,,102.0,,nbastuffer
2025-26,Regular Season,,Dallas,,,,,,,,,,,,,,,,,,,102.7,,nbastuffer
2025-26,Regular Season,,Denver,,,,,,,,,,,,,,,,,,,100.8,,nbastuffer
2025-26,Regular Season,,Detroit,,,,,,,,,,,,,,,,,,,100.7,,nbastuffer
2025-26,Regular Season,,Golden State,,,,,,,,,,,,,,,,,,,100.4,,nbastuffer
2025-26,Regular Season,,Houston,,,,,,,,,,,,,,,,,,,98.9,,nbastuffer
2025-26,Regular Season,,Indiana,,,,,,,,,,,,,,,,,,,102.0,,nbastuffer
2025-26,Regular Season,,LA Clippers,,,,,,,,,,,,,,,,,,,96.6,,nbastuffer
2025-26,Regular Season,,LA Lakers,,,,,,,,,,,,,,,,,,,100.3,,nbastuffer
2025-26,Regular Season,,Memphis,,,,,,,,,,,,,,,,,,,102.4,,nbastuffer
2025-26,Regular Season,,Miami,,,,,,,,,,,,,,,,,,,105.4,,nbastuffer
2025-26,Regular Season,,Milwaukee,,,,,,,,,,,,,,,,,,,101.9,,nbastuffer
2025-26,Regular Season,,Minnesota,,,,,,,,,,,,,,,,,,,98.7,,nbastuffer
2025-26,Regular Season,,New Orleans,,,,,,,,,,,,,,,,,,,97.7,,nbastuffer
2025-26,Regular Season,,New York,,,,,,,,,,,,,,,,,,,98.6,,nbastuffer
2025-26,Regular Season,,Oklahoma City,,,,,,,,,,,,,,,,,,,99.2,,nbastuffer
2025-26,Regular Season,,Orlando,,,,,,,,,,,,,,,,,,,102.6,,nbastuffer
2025-26,Regular Season,,Philadelphia,,,,,,,,,,,,,,,,,,,100.8,,nbastuffer
2025-26,Regular Season,,Phoenix,,,,,,,,,,,,,,,,,,,100.1,,nbastuffer
2025-26,Regular Season,,Portland,,,,,,,,,,,,,,,,,,,104.0,,nbastuffer
2025-26,Regular Season,,Sacramento,,,,,,,,,,,,,,,,,,,101.8,,nbastuffer
2025-26,Regular Season,,San Antonio,,,,,,,,,,,,,,,,,,,98.4,,nbastuffer
2025-26,Regular Season,,Toronto,,,,,,,,,,,,,,,,,,,102.0,,nbastuffer
2025-26,Regular Season,,Utah,,,,,,,,,,,,,,,,,,,99.2,,nbastuffer
2025-26,Regular Season,,Washington,,,,,,,,,,,,,,,,,,,103.8,,nbastuffer
